"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22300","R22300","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","WARN","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.13552311684319,1.21799022216549,5.22981299003788,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.135730295780168,1.19981325522692,5.13766260807577,FALSE,142388992,118744994,23643998,0.8339,0.7812,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22300_sorted.bam",135618097,2292819,0.0166253627087793,0.366701833931796,28073589,0,0,0,0,0,0,0,21567654,0,0,22905376,0,4010372,1.88789541657819e-05,NA,NA,NA,NA
"R22301","R22301","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0455803281602558,0.218754754873377,1.30112116723857,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0466436283671005,0.214853098045544,1.25921519622425,FALSE,103827686,81819053,22008633,0.788,0.7262,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22301_sorted.bam",111301399,5280997,0.0452984085178692,0.2196703457871,17029915,0,0,0,0,0,0,0,44942426,0,0,12840337,0,2712192,5.07342520499956e-05,NA,NA,NA,NA
"R22302","R22302","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0504801001851444,0.190888618488485,1.11364540801368,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0541197209726618,0.197036206387904,1.11930613117197,FALSE,122210534,113989597,8220937,0.9327,0.8983,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22302_sorted.bam",124829885,2279351,0.0179322216994523,0.447211641879161,30540977,0,0,0,0,0,0,0,14095373,0,0,20650042,0,3005607,1.22130997970366e-05,NA,NA,NA,NA
"R22303","R22303","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","39.0","39.0",NA,NA,0.0204706652646456,0.166394151333036,1.1938861688792,"101","49","41.0","41.0","39.0","41.0",NA,NA,0.0269620042149399,0.19151319116275,1.32062039478636,FALSE,125721366,112424941,13296425,0.8942,0.8333,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22303_sorted.bam",130658242,3033348,0.022689145966474,0.461639022614486,34914238,0,0,0,0,0,0,0,23542900,0,0,12361342,0,4812557,6.24387105340807e-06,NA,NA,NA,NA
"R22304","R22304","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","39.0","41.0",NA,NA,0.0603819392837231,0.402487717392716,2.35441756625572,"101","50","41.0","41.0","41.0","39.0",NA,NA,0.0609156937627628,0.392804742878901,2.28294073049758,FALSE,116720332,96789583,19930749,0.8292,0.7824,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22304_sorted.bam",112914132,2458966,0.0213131660900707,0.477064128874592,30054169,0,0,0,0,0,0,0,18997611,0,0,8354600,0,5591794,1.20116447072617e-05,NA,NA,NA,NA
"R22305","R22305","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0532664165092184,0.420896968640252,2.66519195997565,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0546569823121684,0.417265252976409,2.61164502370196,FALSE,132967458,119570447,13397011,0.8992,0.8493,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22305_sorted.bam",136523035,3466747,0.0247642860105318,0.452440085235891,35427278,0,0,0,0,0,0,0,23401142,0,0,15622066,0,3852209,9.11726833769165e-06,NA,NA,NA,NA
"R22306","R22306","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0456902762929306,0.323291945664392,2.01247479355649,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0451475112428648,0.308456984057483,1.90548257980315,FALSE,108149926,88299469,19850457,0.8165,0.7724,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22306_sorted.bam",104452292,1748009,0.0164595484526922,0.397202351421904,23617796,0,0,0,0,0,0,0,19409143,0,0,12683545,0,3749879,1.01194878641513e-05,NA,NA,NA,NA
"R22307","R22307","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN/FAIL","WARN","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.162872116216961,1.24316413470979,6.36561279189396,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.165393051386597,1.22722183403297,6.2765046042111,FALSE,115711028,99517218,16193810,0.86,0.8192,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22307_sorted.bam",125534104,3099587,0.0240962299682437,0.275189547170543,21843451,0,0,0,0,0,0,0,37675493,0,0,17523661,0,2333415,2.78802099540041e-05,NA,NA,NA,NA
"R22308","R22308","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN/FAIL","WARN","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.112242449348866,0.798333659892294,4.1798032162365,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.112678313171994,0.786895107876827,4.10681326591242,FALSE,113108722,99734079,13374643,0.8818,0.8382,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22308_sorted.bam",120829783,4227125,0.0338016113432134,0.374356890086447,26643121,0,0,0,0,0,0,0,27947137,0,0,11572083,0,5008036,1.47129910193329e-05,NA,NA,NA,NA
"R22309","R22309","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN/FAIL","WARN","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.117536414825497,1.08228653328769,6.04850228667112,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.118577603467706,1.07074959853211,5.97399668729311,FALSE,120439270,105131118,15308152,0.8729,0.83,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22309_sorted.bam",129817765,3629027,0.0271945615597863,0.368809325531781,28423552,0,0,0,0,0,0,0,32017948,0,0,11576058,0,5050862,1.64652187031375e-05,NA,NA,NA,NA
"R22310","R22310","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0502527411842788,0.538679439014265,3.18023555234204,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0513661535452993,0.534174464476712,3.13965177443303,FALSE,146127352,131215490,14911862,0.898,0.849,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22310_sorted.bam",159898749,3557224,0.0217625819033239,0.316425241262071,30302480,0,0,0,0,0,0,0,38217807,0,0,22156780,0,5087986,3.15815735213751e-05,NA,NA,NA,NA
"R22311","R22311","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","46","41.0","41.0","39.0","41.0",NA,NA,0.0115263703780386,0.0885738043796031,0.647596552474139,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.016762088837198,0.105360754178146,0.725731239185171,FALSE,120671118,109515432,11155686,0.9076,0.8434,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22311_sorted.bam",122415091,2214654,0.0177698670570176,0.416349144161123,28774680,0,0,0,0,0,0,0,16355714,0,0,20807367,0,3174138,1.28237742348481e-05,NA,NA,NA,NA
"R22312","R22312","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0708792306320312,0.415044529080981,2.55251793866927,"101","51","41.0","41.0","39.0","39.0",NA,NA,0.0725244197815581,0.405420581328764,2.46633811231045,FALSE,207939616,171850346,36089270,0.8264,0.778,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22312_sorted.bam",222634633,4750013,0.0208897701914315,0.295997507932571,42480907,0,0,0,0,0,0,0,73564589,0,0,20760914,0,6711376,2.35635270216806e-05,NA,NA,NA,NA
"R22313","R22313","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0880034695162009,0.684504574662063,3.85334069685411,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0880676824865967,0.672414654134636,3.77712233946156,FALSE,123028104,111236424,11791680,0.9042,0.8581,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22313_sorted.bam",129736664,2159232,0.0163707292302711,0.359357296047172,26474165,0,0,0,0,0,0,0,22935250,0,0,20675401,0,3586055,1.4806888149258e-05,NA,NA,NA,NA
"R22314","R22314","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0770404115729804,0.435678769585688,2.61156295270321,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0804749419484271,0.443398076843718,2.62007226355966,FALSE,146075284,132662991,13412293,0.9082,0.867,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22314_sorted.bam",160552307,3656285,0.0222661004242701,0.430313530121304,40005569,0,0,0,0,0,0,0,34416590,0,0,12216672,0,6329589,1.30481833666708e-05,NA,NA,NA,NA
"R22315","R22315","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0508129269542853,0.345720466941261,2.32884694379582,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0546478810431426,0.349671371489692,2.31501190673797,FALSE,116429034,105089508,11339526,0.9026,0.8661,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22315_sorted.bam",122351982,4097411,0.0324035640092001,0.387616821289764,28516373,0,0,0,0,0,0,0,26577402,0,0,15758759,0,2715927,1.45530429132765e-05,NA,NA,NA,NA
"R22316","R22316","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0714172228062848,0.338921789681978,1.94332080444931,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0752499409448532,0.345253113110148,1.94242612271001,FALSE,113783478,104954149,8829329,0.9224,0.8858,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22316_sorted.bam",119027455,2129291,0.0175746796633181,0.359507081737488,23663748,0,0,0,0,0,0,0,17072800,0,0,22034242,0,3051969,1.84670661638216e-05,NA,NA,NA,NA
"R22317","R22317","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","49","41.0","41.0","39.0","39.0",NA,NA,0.0360798260544265,0.298738319062156,1.93759389396193,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0458003637690126,0.35104725357781,2.14956340101175,FALSE,118151900,105604284,12547616,0.8938,0.8318,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22317_sorted.bam",123656842,3104129,0.0244880500323716,0.405390557875367,28896031,0,0,0,0,0,0,0,23085226,0,0,14029676,0,5268554,1.02782281760426e-05,NA,NA,NA,NA
"R22318","R22318","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0785215348491177,0.89010288585572,4.91576274561893,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0808274256377447,0.878822462309467,4.82922068950346,FALSE,137734190,120873402,16860788,0.8776,0.8253,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22318_sorted.bam",142160335,3542294,0.024311805657261,0.295670300168629,24601611,0,0,0,0,0,0,0,28619294,0,0,26991688,0,2993637,3.43473441637623e-05,NA,NA,NA,NA
"R22319","R22319","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0230013712466381,0.137033362230283,0.938434446813524,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0231412688277662,0.131068571152815,0.878846912889649,FALSE,135813642,115320579,20493063,0.8491,0.8023,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22319_sorted.bam",130830936,2910741,0.0217639038577331,0.443370318706341,31992629,0,0,0,0,0,0,0,18301324,0,0,16454584,0,5409268,8.4394439731727e-06,NA,NA,NA,NA
"R22320","R22320","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","WARN/FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","52","41.0","41.0","41.0","41.0",NA,NA,0.0977672619998216,0.405785211555962,2.17876679227158,"101","53","41.0","41.0","41.0","41.0",NA,NA,0.0964669259476724,0.392894165987597,2.08877153138166,FALSE,103280994,92270368,11010626,0.8934,0.86,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22320_sorted.bam",147269911,9463023,0.0603767361363885,0.0860744156479815,11001067,0,0,0,0,0,0,0,103814385,0,0,12324687,0,668652,0.00121151884630827,NA,NA,NA,NA
"R22321","R22321","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0518649321252586,0.269485049965342,1.53998939836225,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0551284838840706,0.273798614029163,1.53265471781313,FALSE,123331888,110825124,12506764,0.8986,0.8631,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22321_sorted.bam",143066689,3306725,0.0225910218914481,0.329773818089507,28781934,0,0,0,0,0,0,0,41395109,0,0,12182223,0,4918536,1.06316691574652e-05,NA,NA,NA,NA
"R22322","R22322","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0124855719302909,0.108243105919847,0.842257954513645,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.0191747577356733,0.132042620494761,0.962329066780199,FALSE,110103086,98078020,12025066,0.8908,0.8256,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22322_sorted.bam",110367423,2509340,0.0222307934184824,0.39678501587904,25227358,0,0,0,0,0,0,0,17037774,0,0,18026026,0,3288254,1.36756294495841e-05,NA,NA,NA,NA
"R22323","R22323","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0296182179641072,0.326896099523087,2.26326327998883,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.0386636737823056,0.375829021288044,2.50483985325198,FALSE,122569832,108757530,13812302,0.8873,0.8133,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22323_sorted.bam",122113230,2402099,0.0192915926038311,0.384379235108828,27198273,0,0,0,0,0,0,0,18410329,0,0,22047024,0,3103329,1.29419981923117e-05,NA,NA,NA,NA
"R22324","R22324","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","WARN","PASS","NA","101","50","41.0","41.0","39.0","39.0",NA,NA,0.0443409697477382,0.394111965523579,2.47922039543739,"101","51","41.0","41.0","39.0","41.0",NA,NA,0.0569270644861104,0.451121313578848,2.74249161197182,FALSE,121530946,110540848,10990098,0.9096,0.8411,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22324_sorted.bam",147189579,7722938,0.0498535441135464,0.238137890544859,25139366,0,0,0,0,0,0,0,62353474,0,0,14363541,0,3710045,0.000126097054317122,NA,NA,NA,NA
"R22325","R22325","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.200190868494818,0.994599300722522,4.1848507146382,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.204499036643382,1.00143114693847,4.18406920672913,FALSE,141777196,124258667,17518529,0.8764,0.8334,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22325_sorted.bam",152092048,2746590,0.0177384019614019,0.373592538690635,32607363,0,0,0,0,0,0,0,32293918,0,0,17060420,0,5318851,1.82474124019167e-05,NA,NA,NA,NA
"R22326","R22326","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","39.0","41.0",NA,NA,0.0330688274904038,0.261418265683641,1.67785094202857,"101","50","41.0","41.0","39.0","41.0",NA,NA,0.040472296331539,0.294394486209846,1.85224104986256,FALSE,98264748,88371065,9893683,0.8993,0.8413,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22326_sorted.bam",102413169,2070338,0.0198149742427769,0.50357667310809,28663129,0,0,0,0,0,0,0,16206164,0,0,6513007,0,5536796,5.51230816426218e-06,NA,NA,NA,NA
"R22327","R22327","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0683824429799988,0.407217364606874,1.95544590486507,"101","48","41.0","41.0","41.0","39.0",NA,NA,0.0667434422748396,0.390919724967903,1.87101097786005,FALSE,143990176,100233775,43756401,0.6961,0.6591,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22327_sorted.bam",115028984,1714876,0.0146892179168994,0.436861236847481,27896136,0,0,0,0,0,0,0,17557646,0,0,14145982,0,4256064,8.74673108849197e-06,NA,NA,NA,NA
"R22328","R22328","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","NA","101","48","41.0","41.0","39.0","41.0",NA,NA,0.0233803262233603,0.195653230758669,1.36713903513262,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0311101329326397,0.226330517197502,1.51926095071387,FALSE,105811184,95416578,10394606,0.9018,0.8427,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22328_sorted.bam",107399099,2089648,0.0190855047414142,0.466209537726082,28056062,0,0,0,0,0,0,0,15037992,0,0,13502660,0,3582368,9.62358865616992e-06,NA,NA,NA,NA
"R22329","R22329","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.309668477698302,1.5274682196833,6.7712487225669,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.317550035566062,1.52465809432178,6.73005360545247,FALSE,136292852,116780746,19512106,0.8568,0.8134,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22329_sorted.bam",151475054,4333352,0.0278120552751178,0.218586143955099,22058577,0,0,0,0,0,0,0,53971345,0,0,22364760,0,2520118,0.000100550457085242,NA,NA,NA,NA
"R22330","R22330","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0633200827272593,0.52932173600899,3.10265458310373,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0648374372963426,0.521953347362012,3.02619442139152,FALSE,132335582,118487620,13847962,0.8954,0.8493,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22330_sorted.bam",142277889,2312530,0.0159936599948576,0.336593394785299,28486484,0,0,0,0,0,0,0,32157139,0,0,20210095,0,3778020,1.64990526735416e-05,NA,NA,NA,NA
"R22331","R22331","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0347029195408651,0.202967855375248,1.31195434853762,"101","49","41.0","41.0","39.0","39.0",NA,NA,0.0329494089010031,0.187158226330567,1.19771928051027,FALSE,174792210,148199862,26592348,0.8479,0.7772,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22331_sorted.bam",172466168,3285586,0.018694470611087,0.431397296876363,42697761,0,0,0,0,0,0,0,29423627,0,0,19608678,0,7245429,1.03752512924507e-05,NA,NA,NA,NA
"R22332","R22332","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN/FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0341720197236954,0.228705000023075,1.51302962959544,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0365093749000553,0.228801011505984,1.47684863010332,FALSE,123943508,111049509,12893999,0.896,0.8502,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22332_sorted.bam",128966788,2405733,0.0183122998758622,0.388082458094451,28623357,0,0,0,0,0,0,0,22957726,0,0,18464743,0,3710038,1.11447444826265e-05,NA,NA,NA,NA
"R22333","R22333","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0373697989431001,0.177227950904849,1.18637457452742,"101","46","41.0","41.0","39.0","41.0",NA,NA,0.0388932320136596,0.174241765087534,1.13747765572006,FALSE,140078356,116984366,23093990,0.8351,0.758,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22333_sorted.bam",130485940,2441940,0.0183704125876377,0.392260049333541,29265604,0,0,0,0,0,0,0,17571910,0,0,24530799,0,3239346,1.43854881655612e-05,NA,NA,NA,NA
"R22334","R22334","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.109428614590788,0.678289496759538,3.76198918395614,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.112710481555398,0.676788642964747,3.72322531406594,FALSE,109937424,98588381,11349043,0.8968,0.8556,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22334_sorted.bam",119045894,1860878,0.0153910154842278,0.299274380480191,21326108,0,0,0,0,0,0,0,27782025,0,0,19912621,0,2238630,9.1671673049766e-05,NA,NA,NA,NA
"R22335","R22335","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.061535083202103,0.173191122984632,0.703111343404396,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0683322918506604,0.185132216714489,0.717656779099276,FALSE,104940136,96576891,8363245,0.9203,0.8813,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22335_sorted.bam",111926713,2699883,0.02355372220946,0.410678423198755,26558611,0,0,0,0,0,0,0,20466843,0,0,14336329,0,3308308,9.41314287859407e-06,NA,NA,NA,NA
